SBA Disaster Loan Data,,,,,,,Report Run Date:  3/19/2019 ,,,,,,
15438,15439,4353,CA-00282,CARPINTERIA,93013,SANTA BARBARA,CA,"530,446.00","432,016.00","98,430.00","236,900.00","200,000.00","36,900.00"
15438,15439,4353,CA-00282,CARPINTERIA,93013,VENTURA,CA,"91,950.00",0.00,"91,950.00","25,000.00",0.00,"25,000.00"
15438,15439,4353,CA-00282,CHULA VISTA,91911,SAN DIEGO,CA,"24,897.00","24,897.00",0.00,0.00,0.00,0.00
15438,15439,4353,CA-00282,FALLBROOK,92028,SAN DIEGO,CA,"11,909,981.00","9,767,341.00","2,142,640.00","3,740,600.00","3,116,500.00","624,100.00"
15438,15439,4353,CA-00282,KAGEL CANYON,91342,LOS ANGELES,CA,"1,937,588.00","1,638,138.00","299,450.00","111,000.00","81,000.00","30,000.00"
15438,15439,4353,CA-00282,LAKE VIEW TER,91342,LOS ANGELES,CA,"118,026.00","72,026.00","46,000.00","37,300.00","37,300.00",0.00
15438,15439,4353,CA-00282,LAKE VIEW TERRACE,91342,LOS ANGELES,CA,"914,119.00","781,279.00","132,840.00","251,200.00","207,300.00","43,900.00"
15438,15439,4353,CA-00282,LOS ANGELES,90047,LOS ANGELES,CA,"3,723.00","3,198.00",525.00,"3,800.00","3,200.00",600.00
15438,15439,4353,CA-00282,LOS ANGELES,90049,LOS ANGELES,CA,"648,099.00","518,299.00","129,800.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,MALIBU,90265,LOS ANGELES,CA,"45,100.00",0.00,"45,100.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,MONTECITO,93108,SANTA BARBARA,CA,"16,678,995.00","14,565,030.00","2,113,965.00","3,320,000.00","2,661,900.00","658,100.00"
15438,15439,4353,CA-00282,MOORPARK,93021,VENTURA,CA,"83,600.00",0.00,"83,600.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,NORTH HOLLYWOOD,91605,LOS ANGELES,CA,"76,397.00","66,097.00","10,300.00","63,400.00","53,100.00","10,300.00"
15438,15439,4353,CA-00282,OAK VIEW,93022,VENTURA,CA,"102,500.00","64,320.00","38,180.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,OJAI,93023,VENTURA,CA,"9,255,863.00","7,741,078.00","1,514,785.00","1,789,000.00","1,452,600.00","336,400.00"
15438,15439,4353,CA-00282,OJAI,93024,VENTURA,CA,"265,401.00","224,201.00","41,200.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,OXNARD,93030,VENTURA,CA,"22,659.00","18,089.00","4,570.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,PACOIMA,91331,LOS ANGELES,CA,"56,696.00","16,146.00","40,550.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,SAN DIEGO,92122,VENTURA,CA,"30,200.00",0.00,"30,200.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,SAN DIEGO,92126,SAN DIEGO,CA,"42,206.00","39,161.00","3,045.00","42,300.00","39,200.00","3,100.00"
15438,15439,4353,CA-00282,SANTA BARBARA,93103,SANTA BARBARA,CA,"1,264,096.00","1,141,096.00","123,000.00","240,000.00","200,000.00","40,000.00"
15438,15439,4353,CA-00282,SANTA BARBARA,93105,SANTA BARBARA,CA,"24,825.00","16,975.00","7,850.00","24,900.00","17,000.00","7,900.00"
15438,15439,4353,CA-00282,SANTA BARBARA,93108,SANTA BARBARA,CA,"14,197,871.00","11,993,715.00","2,204,156.00","3,035,900.00","2,546,000.00","489,900.00"
15438,15439,4353,CA-00282,SANTA BARBARA,93108,VENTURA,CA,"194,757.00","184,757.00","10,000.00","173,300.00","168,300.00","5,000.00"
15438,15439,4353,CA-00282,SANTA BARBARA,93109,SANTA BARBARA,CA,"1,759,808.00","1,536,083.00","223,725.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,SANTA BARBARA,93110,SANTA BARBARA,CA,"47,293.00","47,293.00",0.00,"25,000.00","25,000.00",0.00
15438,15439,4353,CA-00282,SANTA BARBARA,93111,SANTA BARBARA,CA,"678,370.00","608,770.00","69,600.00",0.00,0.00,0.00
15438,15439,4353,CA-00282,SANTA PAULA,93060,VENTURA,CA,"12,518,077.00","10,518,957.00","1,999,120.00","2,570,100.00","2,059,300.00","510,800.00"
15438,15439,4353,CA-00282,SHADOW HILLS,91040,LOS ANGELES,CA,"1,569,633.00","1,369,753.00","199,880.00","329,000.00","283,000.00","46,000.00"
15438,15439,4353,CA-00282,SUN VALLEY,91352,LOS ANGELES,CA,"98,493.00","64,893.00","33,600.00","69,400.00","63,700.00","5,700.00"
15438,15439,4353,CA-00282,SUNLAND,91040,LOS ANGELES,CA,"301,041.00","230,891.00","70,150.00","135,400.00","85,200.00","50,200.00"
15438,15439,4353,CA-00282,SYLMAR,91342,LOS ANGELES,CA,"3,851,934.00","3,252,024.00","599,910.00","1,029,400.00","903,000.00","126,400.00"
15438,15439,4353,CA-00282,VENTURA,93001,VENTURA,CA,"15,938,451.00","13,059,033.00","2,879,418.00","2,602,700.00","2,022,500.00","580,200.00"
15438,15439,4353,CA-00282,VENTURA,93003,VENTURA,CA,"130,699,749.00","113,451,058.00","17,248,691.00","22,169,000.00","19,110,000.00","3,055,000.00"
15438,15439,4353,CA-00282,VENTURA,93004,VENTURA,CA,"1,328,306.00","1,140,581.00","187,725.00",0.00,0.00,0.00
15442,15443,,NY-00176,HOOSICK FALLS,12090,RENSSELAER,NY,"25,553.00","21,673.00","3,880.00","25,000.00","21,100.00","3,900.00"
15442,15443,,NY-00176,MORAVIA,13118,CAYUGA,NY,"40,945.00","40,945.00",0.00,"24,600.00","24,600.00",0.00
15442,15443,,NY-00176,PULASKI,13142,OSWEGO,NY,"60,773.00","60,773.00",0.00,"60,800.00","60,800.00",0.00
15442,15443,,NY-00176,VERNON,13476,ONEIDA,NY,"9,746.00","9,746.00",0.00,0.00,0.00,0.00
15442,15443,,NY-00176,WEST SENECA,14224,ERIE,NY,"27,580.00","10,545.00","17,035.00",0.00,0.00,0.00
15446,15447,4357,AS-00007,OLOSEGA MANUA,96799,TERRITORY OF AMERICAN SAMOA,AS,"21,659.00","15,459.00","6,200.00","21,700.00","15,500.00","6,200.00"
15446,15447,4357,AS-00007,OTTOVILLE,96799,TERRITORY OF AMERICAN SAMOA,AS,"12,800.00","8,800.00","4,000.00","11,900.00","7,900.00","4,000.00"
15446,15447,4357,AS-00007,PAGO PAGO,96799,TERRITORY OF AMERICAN SAMOA,AS,"27,098,489.00","20,291,265.00","6,807,224.00","9,444,600.00","6,885,300.00","2,559,300.00"
15460,15461,,PA-00083,HOPWOOD,15445,FAYETTE,PA,"79,065.00","65,165.00","13,900.00","65,600.00","56,700.00","8,900.00"
15460,15461,,PA-00083,MCMURRAY,15317,WASHINGTON,PA,"4,440.00","4,440.00",0.00,0.00,0.00,0.00
15460,15461,,PA-00083,TRAFFORD,15085,WESTMORELAND,PA,"31,496.00","25,621.00","5,875.00","25,000.00","25,000.00",0.00
15460,15461,,PA-00083,UNIONTOWN,15401,FAYETTE,PA,"412,261.00","317,491.00","94,770.00","126,700.00","108,400.00","18,300.00"
15466,15467,,NY-00182,PLATTSBURGH,12901,CLINTON,NY,"228,768.00","184,568.00","44,200.00","125,900.00","83,100.00","42,800.00"
15468,15469,,MI-00064,BERRIEN SPRINGS,49103,BERRIEN,MI,"21,123.00","17,523.00","3,600.00","16,000.00","13,800.00","2,200.00"
15468,15469,,MI-00064,BUCHANAN,49107,BERRIEN,MI,"106,607.00","89,161.00","17,446.00","81,900.00","73,300.00","8,600.00"
15468,15469,,MI-00064,EDWARDSBURG,49112,CASS,MI,"72,839.00","64,839.00","8,000.00","72,900.00","64,900.00","8,000.00"
15468,15469,,MI-00064,GALESBURG,49053,KALAMAZOO,MI,"36,031.00","9,031.00","27,000.00","36,100.00","9,100.00","27,000.00"
15468,15469,,MI-00064,KALAMAZOO,49001,KALAMAZOO,MI,"13,801.00","5,146.00","8,655.00","13,900.00","5,200.00","8,700.00"
15468,15469,,MI-00064,KALAMAZOO,49009,KALAMAZOO,MI,"2,378.00","2,378.00",0.00,"2,400.00","2,400.00",0.00
15468,15469,,MI-00064,KALAMAZOO,49048,KALAMAZOO,MI,"107,247.00","96,227.00","11,020.00","95,400.00","84,300.00","11,100.00"
15468,15469,,MI-00064,LANSING,48910,INGHAM,MI,"2,675.00",0.00,"2,675.00",0.00,0.00,0.00
15468,15469,,MI-00064,LANSING,48911,INGHAM,MI,"5,076.00","3,901.00","1,175.00","5,100.00","3,900.00","1,200.00"
15468,15469,,MI-00064,MISHAWAKA,46545,ST JOSEPH,IN,"39,523.00","34,523.00","5,000.00","37,100.00","32,100.00","5,000.00"
15468,15469,,MI-00064,NEW CARLISLE,46552,ST JOSEPH,IN,"60,411.00","44,511.00","15,900.00","56,300.00","40,400.00","15,900.00"
